denominazione,tipologia,ente,tip_amministrativa,indirizzo,frazione,cap,telefono,fax,email,sito_web,Latitudine,Longitudine
Biblioteca della Soprintendenza per i beni culturali e ambientali Pirro Marconi,Specializzata,Regione siciliana. Soprintendenza per i beni culturali e ambientali,Regione,Contrada S. Nicola,,92100.0,+39 0922595830,,,,37.3361677,13.5880717
Biblioteca dell'Archivio di Stato di Agrigento,Specializzata,Ministero dei beni e delle attività culturali e del turismo. Archivio di Stato di Agrigento,Direzione generale per gli archivi,Via Mazzini,,92100.0,+39 0922602494,,,,37.3224744,13.5898176
Biblioteca del Seminario vescovile,Specializzata,Seminario vescovile,Enti ecclesiastici,Piazza don Minzoni,,92100.0,+39 092220269,+39 092220226,,,37.3137125,13.5749656
Biblioteca comunale Franco La Rocca,Importante non specializzata,Comune di Agrigento,Comune,Piazzale Aldo Moro n. 3,,92100.0,+39 0922595166,+39 0922401246,biblioteca.larocca@comune.agrigento.it,http://www.opacagrigento.it/biblioteche/bi_1.html,37.3096114156152,13.5861396789551
Biblioteca comunale Santo Spirito. Sezione esterna di Giardina Gallotti,Pubblica,Comune di Agrigento,Comune,Via Belvedere 127,Giardina Gallotti,92010.0,+39 0922410117,,,,37.4050904,13.5291051
Biblioteca comunale,Pubblica,Comune d'Aragona,Comune - Istituzione comunale,Piazza Umberto  I,,92021.0,+39 092237170,+39 0922690908,salvina.lauricella@comune.aragona.ag.it,http://www.opacagrigento.it/biblioteche/aragon.html,37.4800295,13.5458603
Biblioteca comunale,Pubblica,Comune di Bivona,Comune,Piazza G. Marconi 43,,92010.0,+39 0922986256,+39 0922983123,bivona.biblioteca@tiscali.it,http://www.comune.bivona.ag.it/index.php?option=com_content&view=article&id=281:biblioteca-comunale&Itemid=175,37.6184977,13.4405434
Biblioteca comunale,Pubblica,Comune di Caltabellotta,Comune,Piazza Umberto I,,92010.0,+39 0925952470,,,,37.5768578,13.2157946
Biblioteca comunale,Pubblica,Comune di Cammarata,Comune,Via dei Giardini,,92022.0,+39 0922905669,+39 0922901704,biblioteca.cammarata@libero.it,,37.6308269,13.6371923
Biblioteca comunale,Pubblica,Comune di Castrofilippo,Comune,Via Michelangelo n. 9,,92020.0,+39 0922825110,+39 0922912704,,,37.350753,13.7501912
Biblioteca comunale,Pubblica,Comune di Cattolica Eraclea,Comune,Via collegio,,92011.0,,,,,37.438755,13.3952266
Biblioteca comunale Alessio Di Giovanni,Pubblica,Comune di Cianciana,Comune,Corso Vittorio Emanuele,,92012.0,+39 0922987134,,,,37.5264394,13.4336571
Biblioteca comunale,Pubblica,Comune di Comitini,Comune,Piazza G. Bellacera 20,,92020.0,+39 0922600029,+39 0922600386,,,37.4086694,13.6436159
Biblioteca comunale Barone Antonio Mendola,Pubblica,Comune di Favara,Comune,Piazza Cavour 56,,92026.0,+39 0922448505,+39 0922448500,biblioteca.barone.mendola@comune.favara.ag.it,,37.3147813,13.6604992
Biblioteca comunale Martin Luther King,Importante non specializzata,Comune di Grotte,Comune,Via Fonte 3,,92020.0,+39 0922943109,,,,37.4034467,13.7023793
Biblioteca comunale,Pubblica,Comune di Joppolo Giancaxio,Comune,Via Torino,,92010.0,+39 0922631047,,,,37.3868747,13.5551581
Biblioteca comunale Piersanti Mattarella,Pubblica,Comune di Lucca Sicula,Comune,Corso Vittorio Emanuele n. 123,,92010.0,+39 092560490,+39 092560585,culturale2007@libero.it,,37.5786421572381,13.3070667306885
Istituzione Culturale Federico II,Importante non specializzata,Comune di Menfi,Comune,Via C. Ognibene n. 4,,92013.0,+39 092570500,+39 092570502,istituzione@comune.menfi.ag.it,,37.598265,12.96941
Biblioteca comunale Antonio Gramsci,Pubblica,Comune di Montallegro,Comune,Viale della Vittoria 113,,92010.0,+39 0922845067,,bibliotecamontallegro@hotmail.it,,37.3890414,13.3519453
Biblioteca comunale Feliciana,Importante non specializzata,Comune di Naro,Comune,Piazza Garibaldi - Palazzo Comunale,,92028.0,+39 0922953020,+39 0922957324,info@comune.naro.ag.it,,37.2948287,13.7951239
Biblioteca comunale,Pubblica,Comune di Realmonte,Comune,Via Cosenza,,92010.0,+39 0922816365,,,,37.3059103,13.4639758
