item,name,coord,website,telefono,comune,indirizzo,email,lat,lon
http://www.wikidata.org/entity/Q21551893,ARCA - Museo di Arte Religiosa Contemporanea,Point(14.252994 40.844147),http://www.oltreilchiostro.org/museale.html,+39-081-552-1597,Napoli,"Piazza Santa Maria La Nova, 44 - Napoli",mailto:info@oltreilchiostro.org,40.844147,14.252994000000001
http://www.wikidata.org/entity/Q338367,Accademia Carrara,Point(9.675609 45.70386),http://lacarrara.it/,+39-035-399640,Bergamo,"Piazza Giacomo Carrara, 32A",mailto:segreteria_accademia@comune.bg.it,45.70386,9.675609
http://www.wikidata.org/entity/Q338367,Accademia Carrara,Point(9.675609 45.70386),http://lacarrara.it/,+39-035-399640,Bergamo,"Piazza Giacomo Carrara, 32A",mailto:segreteria_accademia@comune.bg.it,45.703860999999996,9.675583
http://www.wikidata.org/entity/Q3868399,Aia dei Musei (Avezzano),Point(13.439805555 42.021722222),http://www.aiadeimusei.it/,+39-0863-501228,Avezzano,"Via Nuova, 33 - Avezzano",mailto:gabinettodelsindaco@comuneavezzano.it,42.021722222221996,13.439805555556
http://www.wikidata.org/entity/Q21968175,Antiquarium forense,Point(12.48911 41.89081),http://www.archeorm.arti.beniculturali.it,+39-06-699841,Roma,"piazza Santa Maria Nova, 53",mailto:info@archeorm.arti.beniculturali.it,41.890809999999995,12.48911
http://www.wikidata.org/entity/Q55231956,Archivio e percorso storico dell'università di Siena,Point(11.332801 43.319119),http://www.simus.unisi.it/it/musei/archivio/,+39-0577-232382,Siena,Banchi di Sotto 55,mailto:leoncinia@unisi.it,43.319119,11.332801
http://www.wikidata.org/entity/Q20008149,Armani Silos,Point(9.165155 45.451603),http://www.armanisilos.com/,+39-02-9163-0010,Milano,"Via Bergognone, 40 - Milano",mailto:info@armanisilos.com,45.451603000000006,9.165155
http://www.wikidata.org/entity/Q1140023,Campanile di Giotto,Point(11.25653 43.773464),https://www.ilgrandemuseodelduomo.it/monumenti/4-campanile,+39-055-230-2885,Firenze,"del Duomo,  - Firenze",mailto:opera@operaduomo.firenze.it,43.7727,11.255817
http://www.wikidata.org/entity/Q1140023,Campanile di Giotto,Point(11.25653 43.773464),https://www.ilgrandemuseodelduomo.it/monumenti/4-campanile,+39-055-230-2885,Firenze,"del Duomo,  - Firenze",mailto:opera@operaduomo.firenze.it,43.772772222222,11.255786111111
http://www.wikidata.org/entity/Q1140023,Campanile di Giotto,Point(11.25653 43.773464),https://www.ilgrandemuseodelduomo.it/monumenti/4-campanile,+39-055-230-2885,Firenze,"del Duomo,  - Firenze",mailto:opera@operaduomo.firenze.it,43.773464000000004,11.25653
http://www.wikidata.org/entity/Q1031614,Camposanto monumentale di Pisa,Point(10.39495 43.724),http://www.opapisa.it,+39-050-387-2210,Pisa,"del Duomo,  - Pisa",mailto:info@opapisa.it,43.724,10.39495
http://www.wikidata.org/entity/Q2418618,Casa Buonarroti,Point(11.263607 43.769849),http://www.casabuonarroti.it,+39-055-241752,Firenze,Via Ghibellina 70,mailto:fond@casabuonarroti.it,43.769849,11.263607
http://www.wikidata.org/entity/Q2418618,Casa Buonarroti,Point(11.263607 43.769849),http://www.casabuonarroti.it,+39-055-241752,Firenze,Via Ghibellina 70,mailto:fond@casabuonarroti.it,43.76981,11.263593
http://www.wikidata.org/entity/Q3661081,Casa Carducci,Point(11.348452 44.4881867),http://www.casacarducci.it,+39-051-347592,Bologna,"Piazza Carducci, 5,  - Bologna",mailto:casacarducci@comune.bologna.it,44.4881867,11.348452
http://www.wikidata.org/entity/Q1046411,Casa Museo Giovanni Verga,Point(15.0838131 37.5018093),http://www.museumland.com/verga/,+39-095-715-0598,Catania,"Via S. Anna, 8 - Catania",mailto:soprict.area@regione.sicilia.it,37.5018093,15.083813099999999
